Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,1098777,-,-,-,41.89,-78.58,-5,642,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2002,1,1,0,30,0,0,0,-14,-12,940.0,241.20000000000002,0.7000000000000001,0.866
2002,1,1,1,30,0,0,0,-13,-12,940.0,241.3,0.6000000000000001,0.866
2002,1,1,2,30,0,0,0,-13,-12,940.0,239.10000000000002,0.6000000000000001,0.866
2002,1,1,3,30,0,0,0,-13,-12,940.0,247.9,0.7000000000000001,0.866
2002,1,1,4,30,0,0,0,-13,-11,940.0,255.70000000000002,0.7000000000000001,0.866
2002,1,1,5,30,0,0,0,-13,-11,940.0,257.0,0.6000000000000001,0.866
2002,1,1,6,30,0,0,0,-12,-12,940.0,254.8,0.6000000000000001,0.866
2002,1,1,7,30,0,0,0,-12,-11,940.0,255.20000000000002,0.6000000000000001,0.866
2002,1,1,8,30,0,7,7,-12,-9,940.0,259.3,0.7000000000000001,0.866
2002,1,1,9,30,634,80,238,-10,-7,940.0,266.8,0.8,0.866
2002,1,1,10,30,175,148,209,-9,-6,940.0,272.5,0.9,0.866
2002,1,1,11,30,159,180,245,-8,-5,940.0,280.5,1.0,0.866
2002,1,1,12,30,275,178,295,-8,-5,940.0,285.1,1.0,0.866
2002,1,1,13,30,254,163,262,-8,-5,940.0,289.7,1.0,0.866
2002,1,1,14,30,64,128,148,-7,-5,940.0,293.5,0.9,0.866
2002,1,1,15,30,0,49,49,-7,-5,940.0,293.40000000000003,0.7000000000000001,0.866
2002,1,1,16,30,0,33,33,-7,-6,940.0,292.90000000000003,0.6000000000000001,0.866
2002,1,1,17,30,0,0,0,-8,-7,940.0,297.5,0.6000000000000001,0.866
2002,1,1,18,30,0,0,0,-8,-7,940.0,302.6,0.6000000000000001,0.866
2002,1,1,19,30,0,0,0,-8,-8,940.0,308.1,0.6000000000000001,0.866
2002,1,1,20,30,0,0,0,-8,-8,940.0,313.70000000000005,0.6000000000000001,0.866
2002,1,1,21,30,0,0,0,-9,-8,940.0,317.5,0.5,0.866
2002,1,1,22,30,0,0,0,-9,-9,940.0,316.20000000000005,0.5,0.866
2002,1,1,23,30,0,0,0,-10,-10,940.0,315.6,0.5,0.866
